mode,slice_name,slice_value,n,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy
LLM_Baseline,by_failure_mode,FM7,25,25,11,0,0,14,0,1.0,0.44,0.6111,0.0,0.44
Guardrails_Alert,by_failure_mode,FM7,25,25,23,0,0,2,0,1.0,0.92,0.9583,0.0,0.92
Guardrails_Autonomous,by_failure_mode,FM7,25,25,3,0,0,22,0,1.0,0.12,0.2143,0.0,0.12
Scanner,by_failure_mode,none,170,170,114,10,40,6,0,0.9194,0.95,0.9344,0.8,0.9059
LLM_Baseline,by_failure_mode,none,170,170,120,24,26,0,0,0.8333,1.0,0.9091,0.52,0.8588
Guardrails_Alert,by_failure_mode,none,170,170,120,26,24,0,0,0.8219,1.0,0.9023,0.48,0.8471
Guardrails_Autonomous,by_failure_mode,none,170,170,91,0,50,29,0,1.0,0.7583,0.8626,1.0,0.8294
Scanner,by_context_family,admin_api,1,1,1,0,0,0,0,1.0,1.0,1.0,0.0,1.0
LLM_Baseline,by_context_family,admin_api,1,1,1,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_context_family,admin_api,1,1,1,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_context_family,admin_api,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_context_family,admin_routing,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LLM_Baseline,by_context_family,admin_routing,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Guardrails_Alert,by_context_family,admin_routing,1,1,1,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_context_family,admin_routing,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_context_family,analytics_config,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LLM_Baseline,by_context_family,analytics_config,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Guardrails_Alert,by_context_family,analytics_config,1,1,1,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_context_family,analytics_config,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_context_family,analytics_routing,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LLM_Baseline,by_context_family,analytics_routing,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Guardrails_Alert,by_context_family,analytics_routing,1,1,1,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_context_family,analytics_routing,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
